scenario_nr	par_space	w_corr	N	nC	I	missing	method	Tissues	PD	LCI	UCI	parspace	shared
4	null	0.6	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.109	0.0896847562995702	0.12831524370043	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	global	0.052	0.0382388752630849	0.0657611247369151	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T1	0.011	0.00453538628297627	0.0174646137170237	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T2	0.005	0.000628357558885532	0.00937164244111447	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T3	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T4	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T5	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T6	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T7	0.013	0.00597933349828335	0.0200206665017166	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T8	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.055	0.0408698965960763	0.0691301034039237	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.059	0.0443960980465453	0.0736039019534547	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.039	0.0270010819179063	0.0509989180820937	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.052	0.0382388752630849	0.0657611247369151	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.056	0.0417495656523328	0.0702504343476672	No Heterogeneity	No shared
4	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.056	0.0417495656523328	0.0702504343476672	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	global_eQTL	0.046	0.0330162186213977	0.0589837813786023	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.105	0.0859999712454236	0.124000028754576	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	global	0.056	0.0417495656523328	0.0702504343476672	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T1	0.011	0.00453538628297627	0.0174646137170237	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T2	0.005	0.000628357558885532	0.00937164244111447	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T3	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T4	0.011	0.00453538628297627	0.0174646137170237	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T5	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T6	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T7	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T8	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.046	0.0330162186213977	0.0589837813786023	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.042	0.0295675852261337	0.0544324147738663	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.043	0.0304270181766462	0.0555729818233538	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.06	0.0452806835251378	0.0747193164748622	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.055	0.0408698965960763	0.0691301034039237	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.051	0.0373646501525346	0.0646353498474654	No Heterogeneity	No shared
5	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.039	0.0270010819179063	0.0509989180820937	No Heterogeneity	No shared
6	null	0	100	8	1000	Complete data	FastGxC	global_eQTL	0.998	0.995230965546241	1.00076903445376	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	1	1	1	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	global	0.041	0.0287100724424075	0.0532899275575925	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T1	0.005	0.000628357558885532	0.00937164244111447	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T2	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T3	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T4	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T5	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T6	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T7	0.01	0.0038331172927587	0.0161668827072413	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T8	0.003	0	0.0063896612415839	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.034	0.0227675081345733	0.0452324918654267	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.051	0.0373646501525346	0.0646353498474654	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.037	0.0253006402209287	0.0486993597790714	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.05	0.0364918804423795	0.0635081195576206	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.062	0.0470532987192395	0.0769467012807605	No Heterogeneity	Shared
6	null	0	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	global_eQTL	0.894	0.874920377265673	0.913079622734327	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.936	0.920830334572086	0.951169665427915	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	global	0.058	0.0435126971410326	0.0724873028589674	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T1	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T2	0.016	0.00822311581203576	0.0237768841879642	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T3	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T4	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T5	0.012	0.00525134563204267	0.0187486543679573	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T6	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T7	0.013	0.00597933349828335	0.0200206665017166	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T8	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.063	0.0479412764271206	0.0780587235728794	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.059	0.0443960980465453	0.0736039019534547	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.054	0.0399915353305104	0.0680084646694896	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.056	0.0417495656523328	0.0702504343476672	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.045	0.0321513933510544	0.0578486066489456	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.061	0.0461664259266171	0.0758335740733829	No Heterogeneity	Shared
7	null	0.2	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	global_eQTL	0.707	0.67879074555814	0.73520925444186	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.791	0.765799481537509	0.816200518462491	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	global	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T1	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T2	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T3	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T4	0.003	0	0.0063896612415839	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T5	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T6	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T7	0.003	0	0.0063896612415839	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T8	0.01	0.0038331172927587	0.0161668827072413	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.047	0.0338827296270257	0.0601172703729744	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.05	0.0364918804423795	0.0635081195576206	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.043	0.0304270181766462	0.0555729818233538	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.038	0.0261497523802541	0.049850247619746	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.05	0.0364918804423795	0.0635081195576206	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.051	0.0373646501525346	0.0646353498474654	No Heterogeneity	Shared
8	null	0.4	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.042	0.0295675852261337	0.0544324147738663	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	global_eQTL	0.542	0.511119773773273	0.572880226226727	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.664	0.634724672013244	0.693275327986756	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	global	0.052	0.0382388752630849	0.0657611247369151	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T1	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T2	0.005	0.000628357558885532	0.00937164244111447	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T3	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T4	0.011	0.00453538628297627	0.0174646137170237	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T5	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T6	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T7	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T8	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.058	0.0435126971410326	0.0724873028589674	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.047	0.0338827296270257	0.0601172703729744	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.066	0.0506115989283204	0.0813884010716796	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.061	0.0461664259266171	0.0758335740733829	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.062	0.0470532987192395	0.0769467012807605	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.043	0.0304270181766462	0.0555729818233538	No Heterogeneity	Shared
9	null	0.6	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.056	0.0417495656523328	0.0702504343476672	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	global_eQTL	0.46	0.429109574767245	0.490890425232755	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.568	0.537298179213821	0.598701820786179	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	global	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T1	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T2	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T3	0.006	0.00121351272783268	0.0107864872721673	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T4	0.004	8.79197424330123e-05	0.00791208025756699	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T5	0.007	0.00183260411206526	0.0121673958879347	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T6	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T7	0.009	0.00314662736349625	0.0148533726365038	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T8	0.008	0.00247860369100093	0.0135213963089991	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T1_nominal	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T2_nominal	0.052	0.0382388752630849	0.0657611247369151	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T3_nominal	0.056	0.0417495656523328	0.0702504343476672	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T4_nominal	0.038	0.0261497523802541	0.049850247619746	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T5_nominal	0.05	0.0364918804423795	0.0635081195576206	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T6_nominal	0.049	0.0356206076526052	0.0623793923473948	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T7_nominal	0.053	0.0391145162248678	0.0668854837751322	No Heterogeneity	Shared
10	null	0.8	100	8	1000	Complete data	FastGxC	p.value_T8_nominal	0.047	0.0338827296270257	0.0601172703729744	No Heterogeneity	Shared
11	alt	0	100	8	1000	Complete data	FastGxC	global_eQTL	0.196	0.171396088790595	0.220603911209405	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	global_eQTL_unadjusted	0.285	0.257021557027116	0.312978442972884	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	global	0.201	0.176161834907855	0.225838165092145	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T1	0.009	0.00314662736349625	0.0148533726365038	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T2	0.008	0.00247860369100093	0.0135213963089991	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T3	0.01	0.0038331172927587	0.0161668827072413	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T4	0.009	0.00314662736349625	0.0148533726365038	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T5	0.012	0.00525134563204267	0.0187486543679573	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T6	0.009	0.00314662736349625	0.0148533726365038	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T7	0.009	0.00314662736349625	0.0148533726365038	Single-context Heterogeneity	No shared
11	alt	0	100	8	1000	Complete data	FastGxC	p.value_T8	0.169	0.145773062291394	0.192226937708606	Single-context Heterogeneity	No shared
